"Domain Id","Domain Name","Device Id","Device Name","Plan Id","Plan Name","Device Type","Device SubType","Last Seen"
"domain:12274d03-3534-351d-b7bd-43950e0ac259","agriculture-vola.thingstream.io","device:3664f3df-87f0-42c0-adb6-742ea06e9fa4","MF 4245","plan:d48b5418-f221-3fc4-b100-c18c60791ec9","PointPerfect 100H","POINTPERFECT","PointPerfect","Sat Aug 31 12:24:12 UTC 2024"
"domain:d73eac9a-3184-3285-a95e-613f3daf204d","emrlabs.thingstream.io","device:9e27f235-0d75-4b02-8e59-13284a57b0ad","u-blox digital promo for PointPerfect .  1 month subscription to the PointPerfect IP plan","plan:f1179029-9444-3150-9bd7-1942d7c2acb9","PointPerfect L-band","POINTPERFECT","PointPerfect","Sun Sep 01 15:29:51 UTC 2024"
"domain:cce25a20-fdb9-3502-adb0-d242cbf97d29","therocket.thingstream.io","device:9d95311f-caec-4377-9383-3cf2579c0e10","OngnYu2dQLeZ1f5mRG0ZAw","plan:d206a6ff-c4b3-3b9f-88f4-184ca0808b14","CellLocate Developer","CELL_LOCATE_TOKEN","CellLocate",""
"domain:cce25a20-fdb9-3502-adb0-d242cbf97d29","therocket.thingstream.io","device:a50aaffa-8770-4dc1-9cb1-5c03660c3d2e","OngnYu2dQLeZ1f5mRG0ZAw","plan:0b0a84cd-a3ff-370e-9979-25bfe233bd6f","AssistNow Offline Developer","ASSIST_NOW_OFFLINE_TOKEN","AssistNow Offline","Wed Aug 28 00:00:00 UTC 2024"
"domain:cce25a20-fdb9-3502-adb0-d242cbf97d29","therocket.thingstream.io","device:a5a71e97-8753-4ab0-bda7-9488d3f7d59f","OngnYu2dQLeZ1f5mRG0ZAw","plan:19af6429-2813-3223-a807-79e6cade6626","AssistNow Online Developer","ASSIST_NOW_ONLINE_TOKEN","AssistNow Online","Wed Aug 28 00:00:00 UTC 2024"
"domain:ca7d8e47-fa61-3516-972b-17a0bd239198","matomai.thingstream.io","device:a7917cf4-8542-43b9-8bb9-fd1a75efde15","Dual Test Local","plan:53d2c0db-b7bf-36a4-8b72-5f8335cf4c42","PointPerfect Developer","POINTPERFECT","PointPerfect","Fri Jan 12 11:18:58 UTC 2024"
"domain:ca7d8e47-fa61-3516-972b-17a0bd239198","matomai.thingstream.io","device:c05b9879-73b2-4315-ac1d-00f0928eba6d","Test ZED-F9P","plan:d48b5418-f221-3fc4-b100-c18c60791ec9","PointPerfect 100H","POINTPERFECT","PointPerfect","Thu Aug 29 20:21:36 UTC 2024"
"domain:aeba68b2-8ede-3ce9-8983-1452da9c8f35","rtest.thingstream.io","device:5287d7cb-83c5-4739-b5d9-af58ea2c0dc9","u-blox digital promo for PointPerfect .  1 month subscription to the PointPerfect IP plan","plan:53d2c0db-b7bf-36a4-8b72-5f8335cf4c42","PointPerfect Developer","POINTPERFECT","PointPerfect","Wed Aug 28 21:35:42 UTC 2024"
"domain:aeba68b2-8ede-3ce9-8983-1452da9c8f35","rtest.thingstream.io","device:c55ce797-0f43-463a-b4f9-0ed35acc0c67","test","tariff:14085d4f-e679-3ec3-8aa4-385327f33a6b","MQTT Now Developer","THINGSTREAM_INTERNET","IP thing",""
"domain:7a50606d-8eec-3df6-ab59-202f852e554f","efarmer.thingstream.io","device:0610da79-c0a5-454d-8613-676977ec0ab0","RTCM Box LBAND 1","plan:53d2c0db-b7bf-36a4-8b72-5f8335cf4c42","PointPerfect Developer","POINTPERFECT","PointPerfect",""
